,title,isbn13,loan_cnt,author,publisher,sex,age,genre
1743,호랭이 꼬랭이 말놀이,9788955821505,8,오호선 글 ;남주현 그림,길벗어린이,,,"Children's stories, Korean"
1744,봄이 오면,9788958283546,8,한자영 글·그림,사계절출판사,,,Fiction
1745,사막에서 살아남기,9788937810794,8,최덕희 글;강경효 그림,대한교과서,,,Desert ecology
1746,마법천자문 13 - 모두에게 알려라~ 알릴 고告!,9788950936129,8,스튜디오 시리얼,아울북,,,Juvenile Nonfiction
1747,마법천자문 14 - 부모님을 향한 마음! 효도 효孝,9788950936136,8,스튜디오 시리얼,아울북,,,Juvenile Nonfiction
1748,요란요란 푸른아파트,9788932019024,8,김려령 지음 ;신민재 그림,문학과지성사,,,Juvenile Fiction
1749,왜 마음대로 하면 안 돼요?,9788928307951,8,양혜원 글 ;유설화 그림,좋은책신사고 좋은책어린이,,,Fiction
1750,신통방통 규칙 찾기,9788928315543,8,서지원,좋은책어린이,,,Motion pictures
1751,나는야 곤충 박사 (책 + 곤충채집 장난감 5종),8809254703253,8,조재은,애플비북스,,,Juvenile Nonfiction
1752,가나다는 맛있다,9791158360290,9,우지영 글 ;김은재 그림,책읽는곰,,,Foreign Language Study
1753,나 하나쯤 뭐 어때? :올바른 공공장소예절 지키기,9788996483137,9,글: 이지현 ;그림: 서현,키위북스,,,Psychology
1754,나쁜 초콜릿,9788992026819,9,샐리 그린들리 지음 ;정미영 옮김,봄나무,,,Political Science
1755,시녀이야기,9788982735523,9,마거릿 애트우드 지음;김선형 옮김,황금가지,,,Fiction
1756,신기한 독,9788984286320,9,홍영우 글 그림,보리,,,Legends
1757,오소리네 집 꽃밭,9788986621334,9,글: 권정생;그림: 정승각,길벗어린이,,,Badgers
1758,"수학빵 :내가 만든 수학빵, 먹어 보지 않을래?",9788989415725,9,김용세 글 ;이상미 그림,창의와탐구,,,Bread
1759,붉은 손가락,9788972753940,9,히가시노 게이고 지음;양윤옥 옮김,현대문학,,,Homicide investigation
1760,깜깜 마녀는 안전을 너무 몰라,9788962475029,9,김은의 글 ;박우희 그림,위즈덤하우스,,,Juvenile Fiction
1761,쉿! 신데렐라는 시계를 못 본대 :길이 재기와 시계 보기,9788962860290,9,글: 고자현 ;그림: 김명곤,동아사이언스,,,Juvenile Fiction
1762,(이야기할아버지의) 이상한 밤,9788970946504,9,임혜령 글 ;류재수 그림,한림출판사,,,"Children's stories, Korean"
1763,쳇! 어떻게 알았지? :혼자서 길을 가다가 유괴범을 물리친 빨간모자 이야기,9788958761150,9,심미아 글·그림,느림보,,,Kidnapping
1764,천하 최고 수학 사형제,9788959373659,9,서지원 글 ;이수영 그림,나무생각,,,Juvenile Nonfiction
1765,(최승호 시인의)말놀이 동시집,9788949120232,9,최승호 시;윤정주 그림,비룡소,,,Animals
1766,도깨비 얼굴이 가장 커!,9788949104034,9,이범규 글 ;윤정주 그림,비룡소,,,Fiction
1767,크림빵이 늘었다 줄었다,9788937846502,9,글: 강성은 ;그림: 이형진,미래엔,,,Juvenile Fiction
1768,신통방통 길이 재기,9788928302666,9,서지원 글 ;혜경 그림,좋은책신사고 좋은책어린이,,,Family & Relationships
1769,우리 엄마,9788901047904,9,앤서니 브라운 글·그림;허은미 옮김,웅진씽크빅,,,Fiction
1770,털실 한 뭉치,9788911030187,9,홍종의 글 ;박보미 그림,국민서관,,,"Children's stories, Korean"
1771,아무 일도 일어나지 않은 날,9791188240333,10,"박현숙 (지은이), 장정오 (그림)",꿈터,,,Fiction
1772,쪽지 전쟁,9791158360177,10,전은지 글 ;이경석 그림,책읽는곰,,,Fiction
1773,존댓말을 잡아라!,9788994813684,10,글: 채화영 ;그림: 김정진,파란정원,,,Fiction
1774,문장부호,9788992505604,10,난주 (지은이),고래뱃속(아지북스),,,Literary Collections
1775,한국사 편지 :12살부터 읽는 책과함께 역사편지,9788991221468,10,글: 박은봉,책과함께,,,Korea
1776,루루의 양말,9788949150581,10,세나 게이코 지음;김난주 옮김,비룡소,,,Korean language
1777,따끈따끈 열만두,9788952780669,10,박정선 글 ;이광익 그림,시공사,,,"Children's stories, Korean"
1778,요렇게 해봐요 :내 몸으로 ㄱ ㄴ ㄷ,9788956634302,10,글·그림: 김시영,마루벌,,,Winds
1779,나는 커서 어떤 일을 할까?,9788962473759,10,양지안 글 ;강경수 그림,위즈덤하우스,,,Juvenile Fiction
1780,가을,9788971849804,10,소피 쿠샤리에 글 ;에르베 르 고프 그림,푸른숲,,,Fiction
1781,Why? 해부학,9788930206778,10,글: 조영선 ;만화: 이영호,예림당,,,Graphic novels
1782,글쓰기 왕 랄프 :입말 따라 시작하는 글쓰기,9791157232123,11,애비 핸런 글·그림 ;이미영 옮김,내인생의책,,,Korean language
1783,아빠 얼굴,9788998751227,11,황K (지은이),이야기꽃,,,Juvenile Nonfiction
1784,발견! 우리 학교 이곳저곳 :초등 1학년을 위한 학교생활 길잡이,9788964961261,11,이시즈 치히로 글 ;김윤정 옮김,토토북,,,Philosophy
1785,"이웃의 이웃에는 누가 살지? :더 큰 가족, 이웃을 만나는 책",9788980713639,11,채인선 글 ;김우선 그림,미세기,,,Literary Collections
1786,으랏차차 뚱보 클럽 :전현정 장편동화,9788949121482,11,글쓴이: 전현정 ;그린이: 박정섭,비룡소,,,"Children's stories, Korean"
1787,소시지 탈출,9788943312312,11,"미셸 로빈슨 (지은이), 토 프리먼 (그림), 김영선 (옮긴이)",보림,,,Children's stories
1788,"암탉, 엄마가 되다 :개성 강한 닭들의 좌충우돌 생태 다큐멘터리",9788989646778,12,김혜형 글·사진 ;김소희 그림,낮은산,,,Literary Collections
1789,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,9791190630016,13,"글: 백종원,그림: 이정태",위즈덤하우스 미디어그룹,,,Juvenile Nonfiction
1790,나쁜 말이 불쑥,9788994077413,19,오드리 우드 글 ;천미나 옮김,책과콩나무,,,Picture books for children
1791,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,9791162332542,19,트롤,아이세움,,,Anonymous letters
1792,가을을 만났어요,9788943304782,17,이미애 글;한수임 그림,보림,,,Autumn
1793,오늘도 쾌변 - 생계형 변호사의 서초동 활극 에세이,9788901243610,5,박준형 (지은이),웅진지식하우스,,60대 이상,Literary Collections
1794,"인간과 자연의 비밀 연대 - 위기의 시대, 인간과 자연의 조화로움을 향한 새로운 시선",9791190357401,6,"페터 볼레벤 (지은이), 강영옥 (옮긴이), 남효창 (감수)",더숲,,60대 이상,Science
1795,숲은 알고 있다 :요시다 슈이치 장편소설,9791190492607,6,지은이: 요시다 슈이치 ;옮긴이: 이영미,은행나무,,60대 이상,Literary Collections
1796,워터 게임 :요시다 슈이치 장편소설,9791190492614,6,지은이: 요시다 슈이치 ;옮긴이: 이영미,은행나무,,60대 이상,Literary Collections
1797,인간 관계의 법칙,9788901239866,5,로버트 그린 지음 ;강미경 옮김,웅진씽크빅,,60대 이상,Literary Collections
1798,우아한 방어 :우리 몸을 지키는 면역의 놀라운 비밀,9791188850884,6,맷 릭텔 지음 ;홍경탁 옮김,북라이프,,60대 이상,Study Aids
1799,삶의 한가운데 영원의 길을 찾아서 :100세 철학자 김형석 교수의 신앙 에세이,9791170400103,6,김형석 지음,열림원,,60대 이상,Literary Collections
1800,인생이 빛나는 정리의 마법,9788984058873,6,곤도 마리에 지음 ;홍성민 옮김,더난출판,,60대 이상,Self-Help
1801,스님의 주례사 :행복한 결혼생활을 위한 남녀 마음 이야기,9788984314207,6,법륜 지음 ;김점선 그림,한겨레출판,,60대 이상,Religion
1802,"See you later, Alligator!",9781904550051,5,by Annie Kubler,Child's Play,여성,영유아(0~5),Animals
1803,Nate the Great and the lost list,9780440462828,5,by Marjorie Weinman Sharmat ;illustrated by Marc Simont,Yearling,여성,영유아(0~5),Juvenile Fiction
